Cue_Anexo,Nivel,Modalidad_Educ_Gral,Cue,Estado,Sector,Departamento,NINA,Cant_Secciones,Tipo_titulo,Primero,Segundo,Tercero,Cuarto,Quinto,Sexto,Septimo,Mat_ciclo_basico,Mat_ciclo_orientado,Matricula_Total,Titulo
600382600,Secundaria,Común,6003826,Activo,ESTATAL,,no,20,Ciclo basico técnico,60,75,76,68,59,44,35,211,206,417,"Técnico en tiempo libre, recreación y turismo; Técnico mecánico vial"
600384400,Secundaria,Común,6003844,Activo,ESTATAL,,no,17,Ciclo basico técnico,72,49,45,30,26,31,22,166,109,275,Maestro mayor de obras; Técnico mecánico
600385600,Secundaria,Común,6003856,Activo,ESTATAL,,no,7,Ciclo básico agrario,23,19,11,12,13,6,9,53,40,93,Técnico en producción agropecuaria
600385800,Secundaria,Común,6003858,Activo,ESTATAL,,no,14,Ciclo básico agrario,38,39,25,22,18,13,16,102,69,171,Técnico en producción agropecuaria
600395800,Secundaria,Común,6003958,Activo,ESTATAL,,no,9,Ciclo básico agrario,46,52,31,30,27,36,11,129,104,233,Técnico en producción agropecuaria
600461200,Secundaria,Común,6004612,Activo,ESTATAL,,no,16,Ciclo basico técnico,82,91,70,55,29,20,16,243,120,363,Técnico en Electricidad
600462000,Secundaria,Común,6004620,Activo,ESTATAL,VILLAGUAY,no,7,Ciclo basico técnico,11,14,22,15,12,11,12,47,50,97,Técnico mecánico rural
600462800,Secundaria,Común,6004628,Activo,ESTATAL,,no,12,Ciclo básico agrario,64,42,43,38,18,25,9,149,90,239,Técnico en producción agropecuaria
600463000,Secundaria,Común,6004630,Activo,ESTATAL,,no,7,Ciclo basico técnico,20,14,5,7,7,7,1,39,22,61,Técnico en automotores
600463200,Secundaria,Común,6004632,Activo,ESTATAL,,no,7,Ciclo básico agrario,22,22,15,16,3,6,6,59,31,90,Técnico en producción agropecuaria
600463800,Secundaria,Común,6004638,Activo,ESTATAL,,no,6,Ciclo basico técnico,13,22,25,18,17,6,,60,41,101,Técnico mecánico electricista
600496600,Secundaria,Común,6004966,Activo,ESTATAL,,no,22,Ciclo basico técnico,76,68,70,68,55,46,39,214,208,422,Técnico en automotores; Técnico en electrónica; Técnico en Industrialización de la Madera y el Mueble
600496800,Secundaria,Común,6004968,Activo,ESTATAL,VICTORIA,no,6,Ciclo basico técnico,6,18,4,,24,,,28,27,55,Maestro mayor de obras; Técnico en electricidad con orientación en electrónica industrial
